CreatedBy,CreatedByName,createdon,cs1_actionId,cs1_name,statecode,statecode_value,statuscode,statuscode_value,ModifiedBy,ModifiedByName,modifiedOn
321DCEB8-5799-EC11-A8C8-00505697537D,Dvir Gan-Or,2022-05-01 04:14:49,15B4783B-05C9-EC11-AB9D-00505697537D,ברור תנאי ביטול דחיה,0,פעיל,1,פעיל,321DCEB8-5799-EC11-A8C8-00505697537D,Dvir Gan-Or,2022-05-01 04:14:49
557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2019-02-17 08:57:29,22FC1E0D-9232-E911-AD77-00505697537D,המרה לאנגלית מדוברת,0,פעיל,1,פעיל,557775D3-5F7B-E711-94E8-00505697537D,לא פעיל - ilin Twito,2019-02-17 08:57:29
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-09-07 19:20:34,3C000375-86D9-E011-934B-005056BD3748,דחיית מועד עם קנס - לא להשתמש!,0,פעיל,1,פעיל,A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2015-09-16 10:25:22
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:38:32,1B96B5C1-6287-E011-942D-005056BD3748,ביטול,0,פעיל,1,פעיל,A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2016-03-28 08:09:09
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:39:02,54918CD7-6287-E011-942D-005056BD3748,דחיית מועד,0,פעיל,1,פעיל,B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-12-21 09:57:39
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:39:26,C06A08E6-6287-E011-942D-005056BD3748,המרה לבגרות,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:39:26
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:39:48,8AEBCBF2-6287-E011-942D-005056BD3748,המרה לפסיכומטרי,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:39:48
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:01,88C3ADFA-6287-E011-942D-005056BD3748,הפשרה,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:01
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:40,9AFBEA11-6387-E011-942D-005056BD3748,הקדמת מועד,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:40
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:52,FEC25519-6387-E011-942D-005056BD3748,הקפאה,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:40:52
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:43:17,677B9E6F-6387-E011-942D-005056BD3748,הפסקה תמורת חוזר,0,פעיל,1,פעיל,A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2020-06-03 09:08:17
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:43:30,07C46277-6387-E011-942D-005056BD3748,שיבוץ,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:43:30
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:43:50,D5847C83-6387-E011-942D-005056BD3748,שינוי כיתה,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:43:50
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:44:05,DBFC228C-6387-E011-942D-005056BD3748,שינוי מקצוע,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:44:05
3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:44:16,D1BAE092-6387-E011-942D-005056BD3748,שינוי סניף,0,פעיל,1,פעיל,3D4185CC-D55D-E011-8A44-005056BD3748,e4d .,2011-05-26 06:44:16
A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2014-11-09 09:06:49,AC2F8EBC-EF67-E411-BD7A-005056BD5C9D,שירות,0,פעיל,1,פעיל,A7D2E081-D65D-E011-8A44-005056BD3748,Tal Sofer,2014-11-09 09:06:49
