cs1_site,cs1_siteName,cs1_product,cs1_productName,cs1_year,cs1_yearName,cs1_number_of_classes,cs1_courseaId,statecode,Value,statuscode,Value,cs1_status,value,cs1_name,cs1_code,CreatedOn,cs1_startdate,cs1_enddate
0758F5D0-682F-E911-AD77-00505697537D,נהריה,A29C36C3-6187-E011-942D-005056BD3748,פסיכומטרי,B380B3EE-AD3A-EB11-B993-00505697537D,סתיו פס' 2022,,EF5A829F-3395-EB11-812D-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,פסיכומטרי - סתיו פס' 2022 נהריה,504221700,2021-04-04 10:50:52.000,2021-12-31 22:00:00.000,2022-12-29 22:00:00.000
08C74B2E-B473-E811-B9FF-00505697537D,"ת""א - מגדלי אלון",51CA2D4F-8287-E011-942D-005056BD3748,מכינה מתמטיקה 5,4EC7BCD1-0995-EA11-AC48-00505697537D,חורף בג' 2022,2,235503F2-8EAF-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,"מכינה מתמטיקה 5 - חורף בג' 2022 ת""א - מגדלי אלון",997225100,2020-06-16 05:05:10.000,2021-07-31 21:00:00.000,2022-02-27 22:00:00.000
08C74B2E-B473-E811-B9FF-00505697537D,"ת""א - מגדלי אלון",B2C2B746-6187-E011-942D-005056BD3748,פיסיקה 5,4EC7BCD1-0995-EA11-AC48-00505697537D,חורף בג' 2022,,5A20343E-8FAF-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,"פיסיקה 5 - חורף בג' 2022 ת""א - מגדלי אלון",937225100,2020-06-16 05:07:15.000,2021-12-31 22:00:00.000,2022-07-30 21:00:00.000
08C74B2E-B473-E811-B9FF-00505697537D,"ת""א - מגדלי אלון",B2C2B746-6187-E011-942D-005056BD3748,פיסיקה 5,4EC7BCD1-0995-EA11-AC48-00505697537D,חורף בג' 2022,,19E21ABB-97AF-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,"פיסיקה 5 - חורף בג' 2022 ת""א - מגדלי אלון",937225100,2020-06-16 06:08:04.000,2021-12-31 22:00:00.000,2022-08-30 21:00:00.000
08C74B2E-B473-E811-B9FF-00505697537D,"ת""א - מגדלי אלון",B2C2B746-6187-E011-942D-005056BD3748,פיסיקה 5,4EC7BCD1-0995-EA11-AC48-00505697537D,חורף בג' 2022,,3CEF2545-98AF-EA11-81AC-00505697537D,1,לא פעיל,2,לא פעיל,861650000,ייצוגי,"פיסיקה 5 - חורף בג' 2022 ת""א - מגדלי אלון",937225100,2020-06-16 06:11:52.000,2021-12-31 22:00:00.000,2022-08-27 21:00:00.000
4001D524-88F8-E911-BE04-00505697537D,"ת""א - קרמניצקי",B2C2B746-6187-E011-942D-005056BD3748,פיסיקה 5,74ABB6F3-0995-EA11-AC48-00505697537D,קיץ בג' 2022,,282A0271-98AF-EA11-81AC-00505697537D,1,לא פעיל,2,לא פעיל,861650000,ייצוגי,"פיסיקה 5 - קיץ בג' 2022 ת""א - קרמניצקי",936225700,2020-06-16 06:13:06.000,2022-01-31 22:00:00.000,2022-08-27 21:00:00.000
CE4AA9DF-B8E1-E011-8DD2-005056BD3748,@home,A29C36C3-6187-E011-942D-005056BD3748,פסיכומטרי,CD774DFE-406E-E811-826D-00505697537D,חורף פס' 2020,5,0CC73A9C-96B3-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,פסיכומטרי - חורף פס' 2020 @home,505200000,2020-06-21 08:10:12.000,2019-12-31 22:00:00.000,2020-12-30 22:00:00.000
2168DCEA-8AD5-E611-A6A0-0050569937A8,נתניה,A29C36C3-6187-E011-942D-005056BD3748,פסיכומטרי,3E4F2A6F-C4B3-EA11-81AC-00505697537D,אביב פס' 2023,3,E156B57A-C6B3-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,פסיכומטרי - אביב פס' 2023 נתניה,502234700,2020-06-21 13:52:44.000,2022-12-31 22:00:00.000,2023-07-31 21:00:00.000
EA0A711B-E261-EA11-AC48-00505697537D,רמת ישי,A29C36C3-6187-E011-942D-005056BD3748,פסיכומטרי,0E8BF97E-5AF9-E811-AD77-00505697537D,אביב פס' 2021,2,1FE573F6-63BC-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,פסיכומטרי - אביב פס' 2021 רמת ישי,502215800,2020-07-02 13:00:20.000,2021-01-06 00:00:00.000,2021-04-15 00:00:00.000
8CEB78FB-A770-E011-A41E-005056BD3748,הרצליה,83CA2D4F-8287-E011-942D-005056BD3748,מתמטיקה 5,4EC7BCD1-0995-EA11-AC48-00505697537D,חורף בג' 2022,1,E829863E-45BF-EA11-81AC-00505697537D,0,פעיל,1,פעיל,861650000,ייצוגי,מתמטיקה 5 - חורף בג' 2022 הרצליה,127220200,2020-07-06 04:57:52.000,2021-07-31 21:00:00.000,2022-07-31 00:00:00.000
