CreatedByName,CreatedByYomiName,CreatedOnBehalfByName,CreatedOnBehalfByYomiName,ModifiedByName,ModifiedByYomiName,ModifiedOnBehalfByName,ModifiedOnBehalfByYomiName,cs1_actionName,OrganizationIdName,cs1_reason_of_actionId,CreatedOn,CreatedBy,ModifiedOn,ModifiedBy,CreatedOnBehalfBy,ModifiedOnBehalfBy,OrganizationId,statecode,statuscode,VersionNumber,ImportSequenceNumber,OverriddenCreatedOn,TimeZoneRuleVersionNumber,UTCConversionTimeZoneCode,cs1_name,cs1_action
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,ביטול,yoel geva,08AA23FA-B68C-EA11-AC48-00505697537D,2020-05-02 20:53:35.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 21:01:50.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C561D8D,,,,,מקוון - לאחר שיעור ניסיון,1B96B5C1-6287-E011-942D-005056BD3748
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,ביטול,yoel geva,D5994D18-B78C-EA11-AC48-00505697537D,2020-05-02 20:54:21.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 20:54:21.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C55ED9D,,,,,מקוון - לא הגיע,1B96B5C1-6287-E011-942D-005056BD3748
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,ביטול,yoel geva,A6FD6F24-B78C-EA11-AC48-00505697537D,2020-05-02 20:54:42.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 20:54:42.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C55F032,,,,,מקוון - לא מעוניין במקוון,1B96B5C1-6287-E011-942D-005056BD3748
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,דחיית מועד,yoel geva,846BBD26-BA8C-EA11-AC48-00505697537D,2020-05-02 21:16:15.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 21:16:15.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C56800E,,,,,מקוון - לאחר שיעור ניסיון,54918CD7-6287-E011-942D-005056BD3748
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,דחיית מועד,yoel geva,ADA0C532-BA8C-EA11-AC48-00505697537D,2020-05-02 21:16:42.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 21:16:42.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C5684A3,,,,,מקוון - לא הגיע,54918CD7-6287-E011-942D-005056BD3748
לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,לא פעיל - keren Talmi,לא פעיל - keren Talmi,,,דחיית מועד,yoel geva,AEA2E53E-BA8C-EA11-AC48-00505697537D,2020-05-02 21:16:58.000,343F6262-DF28-E311-8AA8-005056BD5C9D,2020-05-02 21:16:58.000,343F6262-DF28-E311-8AA8-005056BD5C9D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004C568776,,,,,מקוון - לא מעוניין במקוון,54918CD7-6287-E011-942D-005056BD3748
לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,המרה לאנגלית מדוברת,yoel geva,F79C9D14-9232-E911-AD77-00505697537D,2019-02-17 08:57:47.000,557775D3-5F7B-E711-94E8-00505697537D,2019-02-17 08:57:47.000,557775D3-5F7B-E711-94E8-00505697537D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000003726A24D,,,,,אישיות - יכולת כלכלית,22FC1E0D-9232-E911-AD77-00505697537D
לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,המרה לאנגלית מדוברת,yoel geva,2EAD241B-9232-E911-AD77-00505697537D,2019-02-17 08:57:52.000,557775D3-5F7B-E711-94E8-00505697537D,2019-02-17 08:57:52.000,557775D3-5F7B-E711-94E8-00505697537D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000003726A254,,,,,אישיות - עבודה,22FC1E0D-9232-E911-AD77-00505697537D
לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,המרה לאנגלית מדוברת,yoel geva,36AD241B-9232-E911-AD77-00505697537D,2019-02-17 08:57:59.000,557775D3-5F7B-E711-94E8-00505697537D,2019-02-17 08:57:59.000,557775D3-5F7B-E711-94E8-00505697537D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000003726A266,,,,,אישיות - צבא,22FC1E0D-9232-E911-AD77-00505697537D
לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,לא פעיל - ilin Twito,לא פעיל - ilin Twito,,,המרה לאנגלית מדוברת,yoel geva,EAB9462B-9232-E911-AD77-00505697537D,2019-02-17 08:58:19.000,557775D3-5F7B-E711-94E8-00505697537D,2019-02-17 08:58:19.000,557775D3-5F7B-E711-94E8-00505697537D,,,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000003726A287,,,,,אלטרנטיבה - מתקבל ללא פסיכומטרי,22FC1E0D-9232-E911-AD77-00505697537D
