CreatedBy,CreatedByName,CreatedOn,cs1_code,cs1_fiyear,cs1_month,_month_value,cs1_name,cs1_year,_year_value,cs1_year_start_date,cs1_yearId,statecode,statecode_value
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-06-21 13:38:05,223,2023,2,אביב פס',אביב פס' 2023,861650024,2023,NULL,3E4F2A6F-C4B3-EA11-81AC-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-07-10 08:56:14,222,2022,2,אביב פס',אביב פס' 2022,861650023,2022,NULL,5F2C2835-8BC2-EA11-81AC-00505697537D,0,פעיל
4AD83B9F-2912-ED11-9F15-00505697537D,Raz Frohner,2023-01-17 16:04:22,626,2026,6,קיץ בג',קיץ בג' 2026,861650027,2026,NULL,EFCA7998-8096-ED11-9123-00505697537D,0,פעיל
4AD83B9F-2912-ED11-9F15-00505697537D,Raz Frohner,2023-05-08 09:10:38,228,2028,2,אביב פס',אביב פס' 2028,861650029,2028,NULL,71714632-80ED-ED11-9123-00505697537D,0,פעיל
4AD83B9F-2912-ED11-9F15-00505697537D,Raz Frohner,2023-08-07 11:39:03,824,2024,8,שנת,שנת 2024,861650025,2024,NULL,479356FC-1635-EE11-924E-00505697537D,0,פעיל
321DCEB8-5799-EC11-A8C8-00505697537D,Dvir Gan-Or,2022-07-26 05:21:14,823,NULL,8,שנת,שנת 2023,861650024,2023,NULL,A8D571C2-A20C-ED11-93C9-00505697537D,1,לא פעיל
1F39E054-C2D2-E911-AA34-00505697537D,Orpaz Indar,2021-10-13 09:09:33,822,2022,8,שנת,שנת 2022,861650023,2022,NULL,9E9F3D47-052C-EC11-94F7-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-10-25 05:33:39,623,2023,6,קיץ בג',קיץ בג' 2023,861650024,2023,NULL,245DDC1A-5535-EC11-94F7-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2021-10-25 05:34:20,623,2023,6,קיץ בג',קיץ בג' 2023,861650024,2023,NULL,5C059133-5535-EC11-94F7-00505697537D,1,לא פעיל
1F39E054-C2D2-E911-AA34-00505697537D,Orpaz Indar,2023-10-26 08:24:06,124,NULL,1,פברואר,פברואר 2024,861650025,2024,NULL,B8FFBF06-D973-EE11-9574-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-12-21 13:20:25,224,2024,2,אביב פס',אביב פס' 2024,861650025,2024,2023-12-31 22:00:00,14279348-8F43-EB11-974B-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-12-21 13:24:06,823,2023,8,שנת,שנת 2023,861650024,2023,2022-12-31 22:00:00,C35AFCC6-8F43-EB11-974B-00505697537D,0,פעיל
B04B5692-38B4-E911-ABE8-00505697537D,inbar bashan,2020-12-28 12:28:08,522,2022,5,חורף פס',חורף פס' 2022,861650023,2022,2021-12-31 22:00:00,41CA0823-0849-EB11-974B-00505697537D,0,פעיל
AA98D257-9BBE-EA11-81AC-00505697537D,Zohar Holdengreber,2021-04-28 06:44:40,723,2022,7,חורף בג',חורף בג' 2023,861650024,2023,NULL,4A4A9834-EDA7-EB11-9772-00505697537D,0,פעיל
E6F94566-CC96-EB11-B6B4-00505697537D,Naama Liran,2022-06-07 06:37:36,427,2027,4,סתיו פס',סתיו פס' 2027,861650028,2027,NULL,C7CDDF50-2CE6-EC11-9866-00505697537D,0,פעיל
