CreatedByName,CreatedByYomiName,ModifiedByName,ModifiedByYomiName,OrganizationIdName,new_discount_reasonId,CreatedOn,CreatedBy,ModifiedOn,ModifiedBy,OrganizationId,statecode,statuscode,VersionNumber,ImportSequenceNumber,new_s_name,new_f_discount,cs1_0,cs1_1
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,4D033664-563E-E811-826D-00505697537D,35:41.0,557775D3-5F7B-E711-94E8-00505697537D,35:41.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000002507071C,,שובר הנחה,,,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,088A1E81-563E-E811-826D-00505697537D,36:29.0,557775D3-5F7B-E711-94E8-00505697537D,24:49.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,1,2,0x0000000035C3D809,,הנחת מועדון,1,2,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,18DA3050-4D42-E811-826D-00505697537D,40:47.0,557775D3-5F7B-E711-94E8-00505697537D,40:47.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x00000000254F8944,,תפוסה מלאה,,,0
Tal Sofer,Tal Sofer,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,2AF53421-2167-E811-826D-00505697537D,27:44.0,A7D2E081-D65D-E011-8A44-005056BD3748,38:42.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000002AABD2EC,,מבצע סבב יוני 18 לתלמידי עבר,0,75%,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,2B1D1CF9-8083-E811-8A51-00505697537D,04:20.0,557775D3-5F7B-E711-94E8-00505697537D,04:20.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000002B27C022,,מבצע לתלמידי גבע,,,0
לא פעיל - sapir Rozenberg,לא פעיל - sapir Rozenberg,Tal Sofer,Tal Sofer,yoel geva,4D89C1F5-AA90-E811-8A51-00505697537D,07:45.0,B0462BBD-8B75-E511-BAC6-005056BD5C9D,27:55.0,A7D2E081-D65D-E011-8A44-005056BD3748,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000034E103A3,,עמותות,0,,1
לא פעיל - ilin Twito,לא פעיל - ilin Twito,Advantech .,Advantech .,yoel geva,B54F4EB2-A8CB-E811-8A51-00505697537D,50:05.0,557775D3-5F7B-E711-94E8-00505697537D,30:19.0,0EDCC7DE-E40E-E311-AA40-005056BD5C9D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000030E4F76B,,קורס מוסדי,0,,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,4D714913-9A44-E911-9027-00505697537D,40:23.0,557775D3-5F7B-E711-94E8-00505697537D,40:23.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000037C3AE10,,מבצע פורים 2019,0,,0
Tal Sofer,Tal Sofer,Tal Sofer,Tal Sofer,yoel geva,9D995633-03A4-EA11-A23F-00505697537D,27:05.0,A7D2E081-D65D-E011-8A44-005056BD3748,27:05.0,A7D2E081-D65D-E011-8A44-005056BD3748,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000004DFF32FA,,קורס חוזר קורונה,100,,0
Libar Batito,Libar Batito,Libar Batito,Libar Batito,yoel geva,EF1E14C8-BF6E-EB11-A4F8-00505697537D,25:59.0,B04B5692-38B4-E911-ABE8-00505697537D,25:59.0,B04B5692-38B4-E911-ABE8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000005F36AAD1,,קיזוז על רכישת אפליקציה,,,0
Libar Batito,Libar Batito,Libar Batito,Libar Batito,yoel geva,1A196BD2-BF6E-EB11-A4F8-00505697537D,26:12.0,B04B5692-38B4-E911-ABE8-00505697537D,26:12.0,B04B5692-38B4-E911-ABE8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x000000005F36AAE6,,מכר של עובד,,,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,B0FEA7F1-8B0E-E911-AD77-00505697537D,43:03.0,557775D3-5F7B-E711-94E8-00505697537D,43:03.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000035A497E3,,תחילת שנה 2019 אנגלית,0,,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,25D99325-400F-E911-AD77-00505697537D,13:07.0,557775D3-5F7B-E711-94E8-00505697537D,13:07.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000035AB1565,,"שת""פ",0,,0
לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,לא פעיל - ilin Twito,yoel geva,65544637-480F-E911-AD77-00505697537D,10:53.0,557775D3-5F7B-E711-94E8-00505697537D,26:05.0,557775D3-5F7B-E711-94E8-00505697537D,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000035C3D8F5,,מועדון צרכנות,0,,0
Tal Sofer,Tal Sofer,Tal Sofer,Tal Sofer,yoel geva,499C6226-2929-E911-AD77-00505697537D,33:53.0,A7D2E081-D65D-E011-8A44-005056BD3748,33:53.0,A7D2E081-D65D-E011-8A44-005056BD3748,78FF9CED-FB9D-48C6-A5E7-65452530E32D,0,1,0x0000000036DA5EBD,,אפליקציה 18/24,0,,0
