Price,CurrentCost,Name,ProductId,cs1_fine_per_product,cs1_fine_per_productName,ProductNumber,cs1_type,Createdon,ModifiedOn,OverriddenCreatedOn
NULL,NULL,מיי גבע 5 יח' מתמטיקה,9C7E1F52-94D1-EA11-81AC-00505697537D,NULL,NULL,64,10,2020-07-29 12:09:16,2020-07-29 12:16:45,NULL
NULL,NULL,מיי גבע 5 יח' מתמטיקה,9C7E1F52-94D1-EA11-81AC-00505697537D,NULL,NULL,64,10,2020-07-29 12:09:16,2020-07-29 12:16:45,NULL
NULL,NULL,מיי גבע 4 יח' מתמטיקה,BDA55BA8-94D1-EA11-81AC-00505697537D,NULL,NULL,65,10,2020-07-29 12:11:46,2020-07-29 12:16:21,NULL
NULL,NULL,מיי גבע 4 יח' מתמטיקה,BDA55BA8-94D1-EA11-81AC-00505697537D,NULL,NULL,65,10,2020-07-29 12:11:46,2020-07-29 12:16:21,NULL
NULL,NULL,מיי גבע 3 יח' מתמטיקה,3E2060D1-94D1-EA11-81AC-00505697537D,NULL,NULL,66,10,2020-07-29 12:12:50,2020-07-29 12:46:06,NULL
NULL,NULL,מיי גבע 3 יח' מתמטיקה,3E2060D1-94D1-EA11-81AC-00505697537D,NULL,NULL,66,10,2020-07-29 12:12:50,2020-07-29 12:46:06,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,English mentor plus - skills,A083D7D1-7F69-E811-826D-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,47,10,2018-06-06 11:50:39,2019-01-03 12:49:23,NULL
NULL,NULL,אנגלית בסיסית לאקדמיה,59E7E64D-8C8D-E811-8A51-00505697537D,NULL,NULL,72,10,2018-07-22 08:50:46,2019-01-03 12:50:59,NULL
NULL,NULL,אנגלית בסיסית לאקדמיה,59E7E64D-8C8D-E811-8A51-00505697537D,NULL,NULL,72,10,2018-07-22 08:50:46,2019-01-03 12:50:59,NULL
NULL,NULL,אנגלית הכנה לבגרות,379DA292-0BA5-E811-8A51-00505697537D,NULL,NULL,73,10,2018-08-21 06:29:36,2019-01-03 12:50:59,NULL
NULL,NULL,אנגלית הכנה לבגרות,379DA292-0BA5-E811-8A51-00505697537D,NULL,NULL,73,10,2018-08-21 06:29:36,2019-01-03 12:50:59,NULL
