siteid,Name
CE4AA9DF-B8E1-E011-8DD2-005056BD3748,@home
27D74FAF-B386-E011-942D-005056BD3748,אשדוד
446B4378-9650-E911-9027-00505697537D,אשקלון
CBF39B86-F270-E011-A41E-005056BD3748,באר שבע
2D4C9318-5E5A-E711-A4E6-0050569937A8,גני תקווה
8CEB78FB-A770-E011-A41E-005056BD3748,הרצליה
541286E3-B386-E011-942D-005056BD3748,חדרה
C746C8EA-B386-E011-942D-005056BD3748,חיפה
EE0B8076-F270-E011-A41E-005056BD3748,ירושלים
CAF39B86-F270-E011-A41E-005056BD3748,כפר סבא
CD74585B-47CB-E611-A6A0-0050569937A8,כרמיאל
26B9F470-1E43-E411-A909-005056BD5C9D,מודיעין
0758F5D0-682F-E911-AD77-00505697537D,נהריה
2168DCEA-8AD5-E611-A6A0-0050569937A8,נתניה
769D5DED-FC18-E111-B8F6-005056BD3748,עפולה
EF0B8076-F270-E011-A41E-005056BD3748,פתח תקווה
FAC14491-F270-E011-A41E-005056BD3748,קריון - לא להשתמש!!
E537F0FE-B386-E011-942D-005056BD3748,קריות
2EFCF004-A870-E011-A41E-005056BD3748,ראשון לציון
AC84A91C-1817-E411-A08B-005056BD5C9D,רחובות
08C74B2E-B473-E811-B9FF-00505697537D,"ת""א - מגדלי אלון"
2A728C40-B473-E811-B9FF-00505697537D,"ת""א - נאות אפקה"
4001D524-88F8-E911-BE04-00505697537D,"ת""א - קרמניצקי"
