"cs1_townid","City_Name"
"1FF7BDA1-4377-E711-8107-00505697537D",משגב
C110925E-418F-E811-8A51-00505697537D,כפר אדומים
A665C9C3-93B6-E811-8A51-00505697537D,נצרת
"7D39AB07-3215-EC11-A8D9-00505697537D",נוף הגליל
D37F1A51-D572-E811-B9FF-00505697537D,קיבוץ גניגר
FC0AF71A-2096-E711-BFC0-00505697537D,כפר עארה
"14455D91-4318-E711-BF8D-0050569937A8",ברוכין
AFEEE6A8-C870-E011-A41E-005056BD3748,אבו ג'ווייעד (שבט)
B1EEE6A8-C870-E011-A41E-005056BD3748,אבו גוש
B3EEE6A8-C870-E011-A41E-005056BD3748,אבו סנאן
B5EEE6A8-C870-E011-A41E-005056BD3748,אבו סריחאן (שבט)
B7EEE6A8-C870-E011-A41E-005056BD3748,אבו עבדון (שבט)
B9EEE6A8-C870-E011-A41E-005056BD3748,אבו עמאר (שבט)
BBEEE6A8-C870-E011-A41E-005056BD3748,אבו עמרה )שבט)
BDEEE6A8-C870-E011-A41E-005056BD3748,אבו קורינאת (שבט)
BFEEE6A8-C870-E011-A41E-005056BD3748,אבו קרינאת )יישוב)
C1EEE6A8-C870-E011-A41E-005056BD3748,אבו רובייעה (שבט)
C3EEE6A8-C870-E011-A41E-005056BD3748,אבו רוקייק (שבט)
C5EEE6A8-C870-E011-A41E-005056BD3748,אבטין
C7EEE6A8-C870-E011-A41E-005056BD3748,אבטליון
C9EEE6A8-C870-E011-A41E-005056BD3748,אביאל
CBEEE6A8-C870-E011-A41E-005056BD3748,אביבים
CDEEE6A8-C870-E011-A41E-005056BD3748,אביגדור
CFEEE6A8-C870-E011-A41E-005056BD3748,אביחיל
D1EEE6A8-C870-E011-A41E-005056BD3748,אביטל
D3EEE6A8-C870-E011-A41E-005056BD3748,אביעזר
D5EEE6A8-C870-E011-A41E-005056BD3748,אבירים
D7EEE6A8-C870-E011-A41E-005056BD3748,רעננה
D9EEE6A8-C870-E011-A41E-005056BD3748,אבן מנחם
