"Account_Name","Branch","Owner","Interest","Lead_Source","Hakalot","Amount","Amount_after_discount","ConvertedFromLead"
A930455E-2F4E-E911-9027-00505697537D,CD74585B-47CB-E611-A6A0-0050569937A8,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,DA9B671A-9F8F-EB11-A4F8-00505697537D
"1E38BEDE-A72B-EA11-A573-00505697537D","26B9F470-1E43-E411-A909-005056BD5C9D","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,E5563B7E-0C8F-EB11-A4F8-00505697537D
"8C6BB659-5690-EB11-80F0-00505697537D","2A728C40-B473-E811-B9FF-00505697537D","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,9963,7970,F1B535DA-B68F-EB11-A4F8-00505697537D
C6F3645C-5890-EB11-80F0-00505697537D,CAF39B86-F270-E011-A41E-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,"651C6B80-5D7B-EB11-A4F8-00505697537D"
"92C007E9-DB27-EB11-B993-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","04A2E930-1A32-EB11-B993-00505697537D","861650000","",,0,0,"8CB0AB6D-5890-EB11-80F0-00505697537D"
"75EFE24F-5C90-EB11-80F0-00505697537D",CBF39B86-F270-E011-A41E-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,9963,7970,"024297D7-488E-EB11-A4F8-00505697537D"
"9ABC3B43-5D90-EB11-80F0-00505697537D",EE0B8076-F270-E011-A41E-005056BD3748,B506753D-71B0-EA11-81AC-00505697537D,"861650001","",,9963,7970,"8337254D-5D90-EB11-80F0-00505697537D"
"1BEB4DFD-5E90-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","04A2E930-1A32-EB11-B993-00505697537D","861650000","",,0,0,"601CA9C0-5E90-EB11-80F0-00505697537D"
EEF1DFAE-5F90-EB11-80F0-00505697537D,"4001D524-88F8-E911-BE04-00505697537D","26AF1387-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,"962218E3-5F90-EB11-80F0-00505697537D"
"32D4406E-6090-EB11-80F0-00505697537D","2EFCF004-A870-E011-A41E-005056BD3748","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,0,0,D704894C-5A90-EB11-80F0-00505697537D
"2DAE97F2-BAD0-EA11-81AC-00505697537D","2EFCF004-A870-E011-A41E-005056BD3748","04A2E930-1A32-EB11-B993-00505697537D","861650000","",,9608,7021,EC1832A2-6190-EB11-80F0-00505697537D
"","",B506753D-71B0-EA11-81AC-00505697537D,"","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","9963","2FF1E6A8-C870-E011-A41E-005056BD3748","",,,9963,"0"
"17006719-6390-EB11-80F0-00505697537D",EE0B8076-F270-E011-A41E-005056BD3748,D1CF0AB7-71B0-EA11-81AC-00505697537D,"861650001","",,9963,7970,"7CB39DC0-5F90-EB11-80F0-00505697537D"
"","","04A2E930-1A32-EB11-B993-00505697537D","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","0","05EFE6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
EB989730-58F2-E811-8A51-00505697537D,"08C74B2E-B473-E811-B9FF-00505697537D","89F1B774-D556-EA11-AC48-00505697537D","861650000","",,14975,10303,F2F27FAB-6490-EB11-80F0-00505697537D
"","",BECA5A64-6EC9-E911-BC50-00505697537D,"","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","9963","8DF7E6A8-C870-E011-A41E-005056BD3748","",,,9963,"0"
"46EE844C-5FFE-EA11-B993-00505697537D",CE4AA9DF-B8E1-E011-8DD2-005056BD3748,"9A938EA1-CA1D-EB11-B993-00505697537D","861650000","",861650001,9608,7760,"31D41C89-6390-EB11-80F0-00505697537D"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"","","","","",,,,""
"",google,"4925","13EFE6A8-C870-E011-A41E-005056BD3748","",,,4925,"0"
"4478BFD5-6790-EB11-80F0-00505697537D","4001D524-88F8-E911-BE04-00505697537D","26AF1387-1FF7-EA11-B993-00505697537D","861650001","",,0,0,"0D9615DD-6790-EB11-80F0-00505697537D"
"36D39FDA-C17E-E811-B9FF-00505697537D",CBF39B86-F270-E011-A41E-005056BD3748,"29F2ED2C-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,"27D6C9E3-6790-EB11-80F0-00505697537D"
"328D696F-6890-EB11-80F0-00505697537D","0758F5D0-682F-E911-AD77-00505697537D","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,"8C753E4E-868E-EB11-A4F8-00505697537D"
"9FC47050-4348-EB11-974B-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","9A938EA1-CA1D-EB11-B993-00505697537D","861650000","",861650000,9483,6931,ED994860-6390-EB11-80F0-00505697537D
FEF3345E-6B90-EB11-80F0-00505697537D,C746C8EA-B386-E011-942D-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,"2D033E3D-4A8E-EB11-A4F8-00505697537D"
"4023FEBD-F3C7-E911-BC50-00505697537D","2EFCF004-A870-E011-A41E-005056BD3748","89F1B774-D556-EA11-AC48-00505697537D","861650000","",861650000,9483,9483,"63242971-6D90-EB11-80F0-00505697537D"
"6C3BDDE5-6D90-EB11-80F0-00505697537D",EE0B8076-F270-E011-A41E-005056BD3748,D1CF0AB7-71B0-EA11-81AC-00505697537D,"861650001","",,0,0,FBEF5AF5-6D90-EB11-80F0-00505697537D
A4729AD5-6E90-EB11-80F0-00505697537D,EF0B8076-F270-E011-A41E-005056BD3748,"26AF1387-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,C5090FF7-6E90-EB11-80F0-00505697537D
"","","4DB3555F-4CDB-E811-8A51-00505697537D","","",,,,""
"","","0",B7F1E6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
"3D4F1D27-7090-EB11-80F0-00505697537D",E537F0FE-B386-E011-942D-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",website organic,,9963,7970,DC563B7E-0C8F-EB11-A4F8-00505697537D
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"",google,"0","75F8E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"89FE1DA3-7090-EB11-80F0-00505697537D","8CEB78FB-A770-E011-A41E-005056BD3748","4122A2D3-BE1D-EB11-B993-00505697537D","861650001","",,9963,7970,"93C03DC7-7090-EB11-80F0-00505697537D"
"","",DCBCC312-AFFC-EA11-B993-00505697537D,"","",,,,""
"","","970",B7F1E6A8-C870-E011-A41E-005056BD3748,"",,,970,"0"
